Cat_Prof;Sal_cat
Progamador;23921.73
Progamador;35861.49
Progamador;35000
Progamador;71926.85
Progamador;56199.23
Progamador;19393.97
Progamador;36018.11
Progamador;69507.78
Progamador;56361.44
Progamador;49330.52
Progamador;52798.66
Progamador;19032.28
Progamador;35000
Progamador;53774.61
Progamador;40106.46
Progamador;47054.9
Progamador;35000
Progamador;43150.65
Progamador;40129.55
Progamador;57399.71
Progamador;50385.83
Progamador;77814.76
Progamador;37223.94
Progamador;7072.92
Progamador;10924.89
Progamador;53715.22
Sistemas;7658.56
Sistemas;22683.71
Sistemas;50102.6
Sistemas;31669.26
Sistemas;35257.77
Sistemas;36084.66
Sistemas;15778.96
Sistemas;10544.88
Sistemas;31929.89
Sistemas;4482.75
Sistemas;6773.77
Sistemas;25144.36
Sistemas;23789.62
Sistemas;25432.56
Sistemas;35670.36
Seguridad;50514.59
Seguridad;41681.04
Seguridad;87304.87
Seguridad;76802.35
Seguridad;34278.36
Administrativo;41086.92
Administrativo;46971.79
Administrativo;31592.5
Administrativo;16730.79
Administrativo;29343.98
Administrativo;19119.12
Administrativo;26635.08
Administrativo;12966.13
Administrativo;38817.08
Administrativo;33116.3
Cargo intermedio;49687.5
Cargo intermedio;46445.91
Cargo intermedio;30414.99
Cargo intermedio;44383.73
